word,num,valence,val.sd,arousal,arousal.sd,dominance,dominance.sd,freq
abduction,621,-2.24,2.06,0.53,2.43,-1.51,2.38,1
abortion,622,-1.5,2.3,0.39,2.8,-0.41,2.54,6
absurd,623,-0.74,1.82,-0.64,2.2,-0.27,1.72,17
abundance,624,1.59,2.01,0.51,2.63,0.8,2.16,13
abuse,1,-3.2,1.23,1.83,2.7,-1.31,2.94,18
acceptance,625,2.98,1.42,0.4,2.7,1.64,1.91,49
accident,2,-2.95,1.19,1.26,2.87,-1.24,2.22,33
ace,626,1.88,1.93,0.5,2.66,1.39,2.31,15
ache,627,-2.54,1.52,0,2.45,-1.46,1.73,4
achievement,3,2.89,1.38,0.53,2.81,1.56,2.35,65
activate,4,0.46,0.98,-0.14,2.56,0.43,1.84,2
addict,581,-2.52,2.08,0.66,2.26,-1.28,2.54,1
addicted,628,-2.49,1.42,-0.19,2.46,-1.54,2.23,3
admired,5,2.74,1.84,1.11,2.36,2.53,1.94,17
adorable,6,2.81,1.24,0.12,2.71,0.74,2.48,3
adult,546,1.49,1.5,-0.24,1.95,0.75,2.21,25
advantage,629,1.95,1.85,-0.24,2.18,1.36,2.23,73
adventure,630,2.6,1.5,1.98,2.15,1.46,1.67,14
affection,7,3.39,0.86,1.21,2.75,1.08,2.22,18
afraid,8,-3,1.28,1.67,2.54,-1.02,2.63,57
aggressive,9,0.1,1.68,0.83,2.33,0.59,2.4,17
agility,22,1.46,1.57,-0.15,1.8,0.87,1.52,3
agony,10,-2.57,2.17,1.06,2.67,-0.98,2.49,9
agreement,631,2.08,1.59,0.02,2.24,1.22,1.85,106
air,632,1.34,1.56,-0.88,2.3,0.1,1.56,257
alcoholic,582,-2.16,2.34,0.69,2.36,-0.55,2.56,3
alert,11,1.2,1.76,1.85,2.53,0.96,2.24,33
alien,633,0.6,1.82,0.45,2.15,-0.36,2.07,16
alimony,634,-1.05,2,-0.7,2.29,-0.37,2.3,2
alive,635,2.25,2.22,0.5,2.74,1.39,2.15,57
allergy,636,-1.93,1.64,-0.36,2.34,-1.79,1.77,1
alley,637,-0.52,1.97,-0.09,2.42,-1,1.7,8
